@relation caracteristicas

@attribute amplitude_cachorro_1 real
@attribute amplitude_cachorro_2 real
@attribute amplitude_cachorro_3 real
@attribute amplitude_gato_1 real
@attribute amplitude_gato_2 real
@attribute amplitude_gato_3 real
@attribute classe {Cachorro, Gato}

@data
-388.0,-376.0,-349.0,-333.0,-302.0,-271.0,Gato
-10.0,1.0,5.0,-10.0,-16.0,-4.0,Gato
-191.0,-124.0,509.0,46.0,116.0,310.0,Gato
-109.0,-269.0,-352.0,-407.0,-415.0,-419.0,Gato
8.0,6.0,2.0,6.0,9.0,0.0,Gato
-37.0,-17.0,-14.0,21.0,40.0,0.0,Gato
1676.0,2641.0,2358.0,2510.0,2391.0,2487.0,Gato
0.0,0.0,0.0,0.0,0.0,0.0,Cachorro
-551.0,1666.0,2427.0,1788.0,-1778.0,-8263.0,Gato
-322.0,-427.0,-256.0,-160.0,-79.0,-82.0,Gato
25.0,27.0,27.0,21.0,12.0,11.0,Gato
-54.0,-42.0,-27.0,-13.0,-3.0,9.0,Gato
0.0,-1.0,0.0,-2.0,-6.0,-9.0,Gato
0.0,-1.0,0.0,-2.0,-3.0,-8.0,Gato
-1.0,0.0,-1.0,0.0,-1.0,0.0,Gato
-1.0,0.0,-1.0,0.0,-1.0,-5.0,Gato
-1.0,1.0,2.0,3.0,6.0,7.0,Gato
0.0,-1.0,0.0,-1.0,0.0,1.0,Gato
-1.0,0.0,-1.0,-3.0,-5.0,-5.0,Gato
0.0,1.0,8.0,18.0,34.0,48.0,Gato
0.0,-1.0,0.0,2.0,1.0,0.0,Gato
-1.0,1.0,3.0,6.0,5.0,6.0,Gato
-17.0,-13.0,-5.0,0.0,15.0,15.0,Gato
-1.0,0.0,-1.0,0.0,-1.0,-2.0,Gato
0.0,0.0,0.0,-1.0,0.0,-1.0,Cachorro
0.0,0.0,-1.0,0.0,-1.0,0.0,Gato
0.0,-1.0,-5.0,-10.0,-16.0,-18.0,Gato
-151.0,-203.0,-240.0,-246.0,-221.0,-215.0,Gato
0.0,-1.0,-2.0,-3.0,-5.0,-6.0,Gato
-1.0,0.0,-5.0,-11.0,-16.0,-18.0,Gato
22.0,88.0,240.0,304.0,436.0,444.0,Gato
-447.0,-627.0,-392.0,-293.0,-96.0,5.0,Gato
0.0,-1.0,0.0,-1.0,-4.0,-7.0,Gato
-1.0,0.0,-1.0,0.0,-1.0,0.0,Gato
0.0,-2.0,-4.0,-5.0,-5.0,-4.0,Gato
-1.0,0.0,-2.0,-10.0,-23.0,-34.0,Gato
-159.0,-165.0,-69.0,-107.0,-63.0,2.0,Gato
-1.0,0.0,-1.0,0.0,2.0,1.0,Gato
-1.0,0.0,2.0,6.0,9.0,12.0,Gato
0.0,-1.0,-3.0,-4.0,-5.0,-7.0,Gato
-1.0,0.0,-1.0,0.0,1.0,1.0,Gato
0.0,-1.0,-2.0,-3.0,-3.0,-5.0,Gato
-1.0,0.0,-1.0,0.0,-1.0,0.0,Gato
0.0,-1.0,-2.0,-3.0,-5.0,-5.0,Gato
0.0,-1.0,-4.0,-6.0,-8.0,-8.0,Gato
-1.0,0.0,-1.0,-4.0,-10.0,-13.0,Gato
0.0,-2.0,-2.0,-3.0,-4.0,-5.0,Gato
0.0,-1.0,0.0,-1.0,0.0,-1.0,Gato
-1.0,0.0,1.0,2.0,2.0,2.0,Gato
-1.0,0.0,-1.0,-3.0,-6.0,-8.0,Gato
-1.0,-2.0,-7.0,-7.0,-3.0,5.0,Gato
-1.0,0.0,-2.0,7.0,16.0,23.0,Gato
-1.0,0.0,-1.0,-2.0,-2.0,-2.0,Gato
0.0,-1.0,0.0,-1.0,-1.0,-2.0,Gato
0.0,-1.0,0.0,-1.0,0.0,1.0,Gato
-1.0,0.0,2.0,4.0,6.0,9.0,Gato
-1.0,0.0,-3.0,-21.0,-42.0,-56.0,Gato
0.0,-1.0,-3.0,-4.0,-6.0,-9.0,Gato
-1.0,0.0,-1.0,0.0,-1.0,0.0,Gato
0.0,-1.0,-2.0,-3.0,-2.0,-2.0,Gato
-11.0,-19.0,-18.0,-25.0,-27.0,-18.0,Gato
-1.0,-6.0,-12.0,-12.0,-12.0,-9.0,Gato
22.0,37.0,49.0,46.0,44.0,38.0,Gato
31.0,12.0,-6.0,-39.0,-70.0,-90.0,Gato
-107.0,-104.0,-101.0,-95.0,-92.0,-88.0,Gato
-22.0,-30.0,-30.0,-20.0,-14.0,-10.0,Gato
-1.0,-1.0,0.0,0.0,-1.0,0.0,Gato
